timestamp,relativeAltitude,pressure
1450096023.333717,0,100.4791488647461
1450096024.647011,-0.04909515380859375,100.479736328125
1450096025.961616,-0.09920501708984375,100.4803314208984
1450096027.279005,-0.09920501708984375,100.4803314208984
1450096028.591963,-0.03340911865234375,100.4795455932617
1450096029.907057,-0.03340911865234375,100.4795455932617
1450096031.221785,-0.0323944091796875,100.4795303344727
1450096032.535573,-0.0349273681640625,100.4795608520508
1450096033.850087,-0.0323944091796875,100.4795303344727
1450096035.163350,0.023284912109375,100.4788665771484
1450096036.479298,0.0445404052734375,100.4786148071289
1450096037.796478,0.0379638671875,100.4786987304688
1450096039.112671,0.0450439453125,100.4786071777344
1450096040.427826,0.1214752197265625,100.4776916503906
1450096041.743897,0.1214752197265625,100.4776916503906
1450096043.062341,0.1214752197265625,100.4776916503906
1450096044.378625,0.2900314331054688,100.4756851196289
1450096045.696221,0.6165237426757812,100.4717864990234
1450096047.013818,0.8255767822265625,100.4692993164062
1450096048.331229,1.052864074707031,100.4665832519531
1450096049.647605,1.139938354492188,100.4655456542969
1450096050.962790,1.4659423828125,100.4616546630859
1450096052.277457,1.668434143066406,100.4592437744141
1450096053.593441,1.810188293457031,100.4575500488281
1450096054.909023,2.033447265625,100.4548797607422
1450096056.222805,2.088630676269531,100.4542236328125
1450096057.538853,2.306320190429688,100.4516296386719
1450096058.854069,2.434913635253906,100.4500961303711
1450096060.169926,2.655654907226562,100.4474639892578
1450096061.484867,2.732612609863281,100.4465484619141
1450096062.802023,2.766532897949219,100.4461441040039
1450096064.119100,2.994873046875,100.4434127807617
1450096065.435507,3.221702575683594,100.4407119750977
1450096066.751760,3.366508483886719,100.4389877319336
1450096068.068774,3.449043273925781,100.4380035400391
1450096069.383959,3.727523803710938,100.4346771240234
1450096070.700701,3.73309326171875,100.4346084594727
1450096072.017077,3.83233642578125,100.4334259033203
1450096073.335158,3.83233642578125,100.4334259033203
1450096074.652236,3.803474426269531,100.4337768554688
1450096075.968367,3.803474426269531,100.4337768554688
1450096077.285201,3.835380554199219,100.4333877563477
1450096078.600699,3.84600830078125,100.4332656860352
1450096079.919120,3.835380554199219,100.4333877563477
1450096081.234244,3.855628967285156,100.4331512451172
1450096082.550435,3.95538330078125,100.4319610595703
1450096083.868886,3.96044921875,100.4319000244141
1450096085.185201,4.046524047851562,100.4308776855469
1450096086.501973,4.046524047851562,100.4308776855469
1450096087.818806,3.939689636230469,100.4321517944336
1450096089.135792,3.939689636230469,100.4321517944336
1450096090.453541,3.939689636230469,100.4321517944336
1450096091.772968,3.786262512207031,100.4339752197266
1450096093.088487,3.779678344726562,100.4340515136719
1450096094.406847,3.774620056152344,100.4341201782227
1450096095.723680,3.731071472167969,100.4346313476562
1450096097.040545,3.673851013183594,100.4353179931641
1450096098.360442,3.566001892089844,100.4365997314453
1450096099.676054,3.463218688964844,100.4378280639648
1450096100.993468,3.463218688964844,100.4378280639648
1450096102.310682,3.406509399414062,100.4385070800781
1450096103.627699,3.317398071289062,100.439567565918
1450096104.943647,3.121452331542969,100.4419097900391
1450096106.260572,2.661727905273438,100.4473876953125
1450096107.577583,2.43896484375,100.4500503540039
1450096108.895149,2.297714233398438,100.4517364501953
1450096110.210639,2.021293640136719,100.4550323486328
1450096111.528296,2.021293640136719,100.4550323486328
1450096112.846102,2.021293640136719,100.4550323486328
1450096114.162661,2.030914306640625,100.4549102783203
1450096115.478304,1.958518981933594,100.4557800292969
1450096116.795626,1.909919738769531,100.4563598632812
1450096118.111832,1.829421997070312,100.4573211669922
1450096119.428696,1.785377502441406,100.4578399658203
1450096120.745651,1.785377502441406,100.4578399658203
1450096122.062608,1.785377502441406,100.4578399658203
1450096123.380092,1.752983093261719,100.4582366943359
1450096124.695765,1.708938598632812,100.4587554931641
1450096126.013392,1.441642761230469,100.4619445800781
1450096127.328974,1.12677001953125,100.465705871582
1450096128.645990,1.12677001953125,100.465705871582
1450096129.964228,1.208778381347656,100.464729309082
1450096131.280329,1.283195495605469,100.4638366699219
1450096132.596924,1.283195495605469,100.4638366699219
1450096133.913269,1.283195495605469,100.4638366699219
1450096135.230469,1.513023376464844,100.4610900878906
1450096136.546814,1.632492065429688,100.4596710205078
1450096137.862014,1.632492065429688,100.4596710205078
1450096139.179183,1.59149169921875,100.4601593017578
1450096140.496778,1.416336059570312,100.4622497558594
1450096141.813185,1.133354187011719,100.4656219482422
1450096143.129534,1.133354187011719,100.4656219482422
1450096144.446032,1.169296264648438,100.4651947021484
1450096145.763048,1.169296264648438,100.4651947021484
1450096147.079363,1.358619689941406,100.4629364013672
1450096148.394930,1.458854675292969,100.4617385864258
